id,mean_gs,sd,skewness,kurtosis,current_max,current_mean,current_min,gebco,x,y,sample_type,y_im,x_im,x_m,y_m,slope,aspect,rough,bpi,shore_dist,island_dist,comb_dist,current_range
1,2.48,1.33,3.7,24.33,0.164273336529732,0.156398266553879,0.146120294928551,-227,-60.0919399996772,43.5737200001266,Grab Van Veen,724,915,186657.1943744499,335813.79722637543,14.38955516719131,6.513883108306821,124,-37,212225.813617385,40169.46116127495,40169.46116127495,0.018153041601181003
2,4.15,1.82,2.34,9.43,0.11666301637888,0.101988777518272,0.092232897877693,-17,-60.0573499995686,43.9142900007087,Grab Video,642,924,188493.16677813302,297779.637872007,0.06176358541871677,270.0,4,0,181851.06914193588,2071.9951227526813,2071.9951227526813,0.02443011850118701
3,1.79,0.98,4.16,26.64,0.11666301637888,0.101988777518272,0.092232897877693,-17,-60.0573499995686,43.9142900007087,Grab Video,642,924,188493.16677813302,297779.637872007,0.06176358541871677,270.0,4,0,181851.06914193588,2071.9951227526813,2071.9951227526813,0.02443011850118701
4,1.58,0.75,5.16,45.76,0.106330350041389,0.091202817857265,0.081783927977085,-18,-60.0905799989556,43.9150599992651,Grab Video,642,916,186861.19130819247,297779.637872007,0.06176358541871677,270.0,2,0,179771.10182752664,2930.2436037677485,2930.2436037677485,0.02454642206430399
5,0.85,1.16,1.04,15.0,0.106330350041389,0.091202817857265,0.081783927977085,-18,-60.0878199995805,43.9146899998449,Grab Video,642,916,186861.19130819247,297779.637872007,0.06176358541871677,270.0,2,0,179771.10182752664,2930.2436037677485,2930.2436037677485,0.02454642206430399
6,1.56,0.78,4.59,40.59,0.106330350041389,0.091202817857265,0.081783927977085,-18,-60.0878199995805,43.9146899998449,Grab Video,642,916,186861.19130819247,297779.637872007,0.06176358541871677,270.0,2,0,179771.10182752664,2930.2436037677485,2930.2436037677485,0.02454642206430399
7,1.81,0.78,4.27,36.25,0.106006801128387,0.091521367430687,0.081748574972153,-19,-60.0794700006296,43.9083399995754,Grab Video,643,918,187269.1851756776,298243.4690836456,0.23249410542739082,307.1586895130597,3,0,180670.96495153822,3107.992684129199,3107.992684129199,0.024258226156233992
8,1.59,0.72,5.12,47.21,0.108675941824913,0.093452528119087,0.083062879741192,-21,-60.0757799989138,43.9046200004283,Grab Video,644,919,187473.18210942016,298707.30029528425,0.12352702729469783,270.0,3,0,181313.78065075004,3372.9636879288287,3372.9636879288287,0.025613062083720994
9,1.63,0.87,3.53,28.62,0.108675941824913,0.093452528119087,0.083062879741192,-21,-60.0781099984697,43.9061800001702,Grab Video,644,919,187473.18210942016,298707.30029528425,0.12352702729469783,270.0,3,0,181313.78065075004,3372.9636879288287,3372.9636879288287,0.025613062083720994
10,1.76,0.72,6.34,56.92,0.067208424210548,0.056905061006546,0.04613758996129,-27,-60.5526299991113,43.959039999649,Grab Video,631,805,164217.5316627674,292677.4945439819,0.568337959985763,240.384837862653,11,0,151517.25545938584,43573.52046320796,43573.52046320796,0.021070834249258
11,1.96,0.7,6.71,60.04,0.066945172846317,0.056725423783064,0.04571271687746,-34,-60.556689999477,43.9553899998782,Grab Video,632,804,164013.53472902483,293141.32575562055,0.18702977498043566,221.33541109769487,8,-4,151783.36595678932,44053.65695021253,44053.65695021253,0.021232455968857
12,0.44,0.89,2.6,24.15,0.065419547259808,0.055353529751301,0.044520776718855,-26,-60.5622999982085,43.9510099997621,Grab Video,633,803,163809.53779528226,293605.1569672592,0.990662658681325,7.162223431982489,11,4,152051.83423148197,44538.256909920536,44538.256909920536,0.020898770540953
14,3.06,0.81,3.24,30.95,0.094755239784718,0.08638957887888,0.081683576107025,-63,-60.2555599984786,43.6430300002711,Grab Video,707,876,178701.31395848974,327928.66662851855,0.12352702729469783,270.0,3,0,197047.71661068522,37425.187856136276,37425.187856136276,0.01307166367769301
15,2.68,1.44,-0.44,12.36,0.071561217308044,0.060516491532326,0.055167101323605,-65,-60.5375399999951,43.6097599995698,Grab Video,715,808,164829.5224639951,331639.3163216277,0.15341460949844346,336.25969611900814,3,0,188383.55864680881,58329.51484929259,58329.51484929259,0.016394115984439003
16,3.08,0.85,3.46,27.68,0.071561217308044,0.060516491532326,0.055167101323605,-65,-60.5400399994847,43.6098599995346,Grab Video,715,808,164829.5224639951,331639.3163216277,0.15341460949844346,336.25969611900814,3,0,188383.55864680881,58329.51484929259,58329.51484929259,0.016394115984439003
17,2.77,0.83,3.79,26.77,0.071813076734543,0.06081261485815,0.05542566254735,-66,-60.5352999995451,43.6095100004753,Grab Video,715,809,165033.51939773766,331639.3163216277,0.18702977498043566,318.6645889023051,2,0,188545.86379028537,57995.509914699214,57995.509914699214,0.016387414187193
18,1.62,0.79,4.8,38.65,0.071904264390469,0.061129529029131,0.056213304400444,-67,-60.5113499996825,43.6141899997437,Grab Video,714,815,166257.50100019306,331175.48510998907,0.0,180.0,1,0,189109.1457813591,55697.757169592296,55697.757169592296,0.015690959990024997
19,1.81,0.84,4.14,31.61,0.073306649923325,0.062669493257999,0.057846464216709,-65,-60.4990999998553,43.6148000012882,Grab Video,714,818,166869.49180142078,331175.48510998907,0.5650987671409576,173.72541102460337,4,0,189620.95180442405,54735.585773354425,54735.585773354425,0.015460185706616003
20,1.81,0.83,4.39,33.61,0.072596721351147,0.062127698212862,0.057376429438591,-63,-60.4938500000093,43.6148900010434,Grab Video,714,819,167073.48873516335,331175.48510998907,0.4257942827498825,171.659687832321,3,0,189793.5091382039,54418.97078641917,54418.97078641917,0.015220291912556
21,-0.08,1.19,1.27,11.29,0.075946010649204,0.072396025061607,0.069472014904022,-71,-61.1587200006518,44.1108799995525,Grab Video,595,659,134433.97933635244,275979.57092499087,0.14043266172637303,180.0,2,0,118053.72907750263,112241.14432677581,112241.14432677581,0.00647399574518201
22,-0.53,1.48,1.05,8.75,0.075162924826145,0.071637898683548,0.068726725876331,-71,-61.1620800000247,44.106700001164,Grab Video,596,659,134433.97933635244,276443.4021366295,0.28086363618542504,180.0,2,0,118486.60221925963,112178.97172585787,112178.97172585787,0.006436198949814009
23,1.98,0.88,3.71,30.97,0.076595790684223,0.072973437607288,0.069898553192616,-72,-61.1637499991287,44.1085900003929,Grab Video,595,658,134229.98240260986,275979.57092499087,0.28757433890131867,192.40218705060266,2,0,117889.05723949325,112700.15558508653,112700.15558508653,0.006697237491607
24,0.23,1.3,1.17,11.56,0.068627819418907,0.06500530987978,0.061989463865757,-64,-61.1707199993912,44.0705300002338,Grab Video,605,657,134025.9854688673,280617.8830413773,0.15341460949844346,156.25969611900817,3,0,122076.38920595741,112626.80137656441,112626.80137656441,0.006638355553149997
25,0.66,0.95,2.26,22.94,0.068627819418907,0.06500530987978,0.061989463865757,-64,-61.1707199993912,44.0705300002338,Grab Video,605,657,134025.9854688673,280617.8830413773,0.15341460949844346,156.25969611900817,3,0,122076.38920595741,112626.80137656441,112626.80137656441,0.006638355553149997
26,2.06,2.25,1.82,9.59,0.070549212396145,0.066691741347313,0.063232012093067,-65,-61.1744199994197,44.0665500000709,Grab Video,606,656,133821.98853512472,281081.71425301593,0.28757433890131867,192.40218705060266,2,0,122357.40853002662,113045.32715538406,113045.32715538406,0.007317200303078003
27,0.77,1.24,1.89,15.01,0.070549212396145,0.066691741347313,0.063232012093067,-65,-61.1744199994197,44.0665500000709,Grab Video,606,656,133821.98853512472,281081.71425301593,0.28757433890131867,192.40218705060266,2,0,122357.40853002662,113045.32715538406,113045.32715538406,0.007317200303078003
